Degree,Min_Train_Error,Min_Test_Error
1,2.1356912801061996,2.2289377758824744
2,2.5529807049120787,2.758507789113237
3,1.2668077068164936,1.2629105935120608
4,1.127595382698321,1.111057475703624
5,1.223865679219547,1.193674950145878
6,1.3501520653012307,1.3191709593910315
7,1.3711363089410764,1.3021097647693176
8,59.429940165645945,62.90594918894918
9,487.4103417414362,514.1651179876137
